72.SEA,2,SEA,0.983333,99.383333,2004,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
Butik_Barisan_NP_edges_frags,1,Butik_Barisan_NP_edges_frags,-5.21046,104.04393,2014,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
Butik_Barisan_NP_interior,2,Butik_Barisan_NP_interior,-5.386,104.10102,2014,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
Kerinci_Seblat_NP_Gunung_Tujuh_north,1,Kerinci_Seblat_NP_Gunung_Tujuh_north,-1.58577,101.38738,2014,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
Kerinci_Seblat_NP_interior,1,Kerinci_Seblat_NP_interior,-1.69529,101.50791,2014,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
89.SEA,13,SEA,9.260853,98.580887,2014,Thailand,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
109.SEA,3,SEA,5.014865,102.551272,2011,Malaysia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
110.SEA,19,SEA,5.5,101.0,2012,Malaysia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
112.SEA,2,SEA,5.5,101.0,2012,Malaysia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
113.SEA,2,SEA,5.014865,102.551272,2012,Malaysia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
114.SEA,1,SEA,-1.38184,101.30522,2014,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
115.SEA,3,SEA,-1.38184,101.30522,2008,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
120.SEA,6,SEA,-0.921494,102.385766,2005,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
121.SEA,3,SEA,5.157041,116.929858,2012,Malaysia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
122.SEA,1,SEA,-5.902884421,104.6705197,1998,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
123.SEA,1,SEA,-4.55948128,103.605593,2000,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
124.SEA,1,SEA,-5.65889,104.40583,1999,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
128.SEA,1,SEA,-5.413808653,104.3083873,1999,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
132.SEA,1,SEA,-5.543351425,104.4627285,1999,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
136.SEA,6,SEA,-1.870837,101.887209,2014,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
137.SEA,5,SEA,-2.264451,101.794251,2014,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
139.SEA,4,SEA,-3.024615,101.950937,2015,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94180,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,species
88.SEA,5,SEA,9.050674,98.607542,2014,Thailand,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94182,Mammalia,Carnivora,Viverridae,Arctogalidia,trivirgata,Arctogalidia trivirgata,species
89.SEA,15,SEA,9.260853,98.580887,2014,Thailand,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94182,Mammalia,Carnivora,Viverridae,Arctogalidia,trivirgata,Arctogalidia trivirgata,species
131.SEA,1,SEA,-5.676349252,104.5171322,2000,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94182,Mammalia,Carnivora,Viverridae,Arctogalidia,trivirgata,Arctogalidia trivirgata,species
135.SEA,9,SEA,3.71777,102.1288,2013,Malaysia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94182,Mammalia,Carnivora,Viverridae,Arctogalidia,trivirgata,Arctogalidia trivirgata,species
136.SEA,1,SEA,-1.870837,101.887209,2014,Indonesia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/94182,Mammalia,Carnivora,Viverridae,Arctogalidia,trivirgata,Arctogalidia trivirgata,species
1.SEA,4,SEA,12.801,106.501,2008,Cambodia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/139309,Mammalia,Carnivora,Mustelidae,Arctonyx,collaris,Arctonyx collaris,species
4.SEA,3,SEA,16.401,101.401,1998,Thailand,wild,https://www.ncbi.nlm.nih.gov/taxonomy/139309,Mammalia,Carnivora,Mustelidae,Arctonyx,collaris,Arctonyx collaris,species
15.SEA,2,SEA,18.316667,104.01,2010,Laos,wild,https://www.ncbi.nlm.nih.gov/taxonomy/139309,Mammalia,Carnivora,Mustelidae,Arctonyx,collaris,Arctonyx collaris,species
16.SEA,7,SEA,18.316667,104.01,2011,Laos,wild,https://www.ncbi.nlm.nih.gov/taxonomy/139309,Mammalia,Carnivora,Mustelidae,Arctonyx,collaris,Arctonyx collaris,species
17.SEA,1,SEA,18.316667,104.01,2012,Laos,wild,https://www.ncbi.nlm.nih.gov/taxonomy/139309,Mammalia,Carnivora,Mustelidae,Arctonyx,collaris,Arctonyx collaris,species
44.SEA,3,SEA,3.0101,97.501,1987,Indonesia,wild,https://www.gbif.org/species/9910236,Mammalia,Carnivora,Mustelidae,Arctonyx,hoevenii,Arctonyx hoevenii,species
45.SEA,2,SEA,3.501,97.2501,1987,Indonesia,wild,https://www.gbif.org/species/9910236,Mammalia,Carnivora,Mustelidae,Arctonyx,hoevenii,Arctonyx hoevenii,species
68.SEA,5,SEA,12.936181,107.305066,2009,Cambodia,wild,https://www.ncbi.nlm.nih.gov/taxonomy/139309,Mammalia,Carnivora,Mustelidae,Arctonyx,collaris,Arctonyx collaris,species
69.SEA,3,SEA,14.441389,101.369722,2003,Thailand,wild,https://www.ncbi.nlm.nih.gov/taxonomy/139309,Mammalia,Carnivora,Mustelidae,Arctonyx,collaris,Arctonyx collaris,species
Butik_Barisan_NP_edges_frags,1,Butik_Barisan_NP_edges_frags,-5.21046,104.04393,2014,Indonesia,wild,https://www.gbif.org/species/9910236,Mammalia,Carnivora,Mustelidae,Arctonyx,hoevenii,Arctonyx hoevenii,species
Butik_Barisan_NP_interior,8,Butik_Barisan_NP_interior,-5.386,104.10102,2014,Indonesia,wild,https://www.gbif.org/species/9910236,Mammalia,Carnivora,Mustelidae,Arctonyx,hoevenii,Arctonyx hoevenii,species
